Dorm,Appliance,Season,Hour,Month,DayOfWeek,Usage (kWh)
Gillespie Hall,Lamps,Winter,0,1,0,0.77
Kaplanis Hall,Kettles,Winter,1,1,0,1.54
Gillespie Hall,Cooking Wares,Winter,2,1,0,0.88
Gillespie Hall,Fans,Winter,3,1,0,0.4
Gillespie Hall,Kettles,Winter,4,1,0,0.33
Adams Hall,Kettles,Winter,5,1,0,0.62
Kaplanis Hall,Fans,Winter,6,1,0,0.53
Moulton House,Fans,Winter,7,1,0,0.4
Village,Air Conditioners,Winter,8,1,0,2.24
Moulton House,Fans,Winter,9,1,0,2.44
Village,Fans,Winter,10,1,0,1.32
Smith Hall,Fans,Winter,11,1,0,1.49
Parker Hall,Fans,Winter,12,1,0,0.9
Adams Hall,Laptops,Winter,13,1,0,0.24
Smith Hall,Heaters,Winter,14,1,0,1.84
Moulton House,Air Conditioners,Winter,15,1,0,0.88
Chu Hall,Kettles,Winter,16,1,0,1.99
Smith Hall,Fridges,Winter,17,1,0,1.29
Chu Hall,Lamps,Winter,18,1,0,2.57
Chu Hall,Fans,Winter,19,1,0,3.02
Parker Hall,Lamps,Winter,20,1,0,0.92
Parker Hall,Fridges,Winter,21,1,0,2.71
Adams Hall,Lamps,Winter,22,1,0,3.44
Village,Heaters,Winter,23,1,0,2.08
Gillespie Hall,Phones,Winter,0,1,1,2.37
Parker Hall,Air Conditioners,Winter,1,1,1,2.34
Gillespie Hall,Kettles,Winter,2,1,1,1.71
Kaplanis Hall,Fridges,Winter,3,1,1,0.39
Smith Hall,Cooking Wares,Winter,4,1,1,1.04
Kaplanis Hall,Fans,Winter,5,1,1,2.24
Parker Hall,Fans,Winter,6,1,1,0.44
Kaplanis Hall,Cooking Wares,Winter,7,1,1,1.77
Gillespie Hall,Cooking Wares,Winter,8,1,1,0.96
Adams Hall,Air Conditioners,Winter,9,1,1,0.48
Parker Hall,Air Conditioners,Winter,10,1,1,2.11
Parker Hall,Air Conditioners,Winter,11,1,1,1.55
Gillespie Hall,Cooking Wares,Winter,12,1,1,0.2
Village,Fans,Winter,13,1,1,1.57
Smith Hall,Air Conditioners,Winter,14,1,1,2.13
Gillespie Hall,Laptops,Winter,15,1,1,1.75
Parker Hall,Air Conditioners,Winter,16,1,1,1.77
Kaplanis Hall,Laptops,Winter,17,1,1,2.6
Kaplanis Hall,Fridges,Winter,18,1,1,1.6
Gillespie Hall,Phones,Winter,19,1,1,2.81
Smith Hall,Fridges,Winter,20,1,1,3.2
Smith Hall,Phones,Winter,21,1,1,2.99
Adams Hall,Air Conditioners,Winter,22,1,1,0.38
Chu Hall,Fans,Winter,23,1,1,2.18
Gillespie Hall,Kettles,Winter,0,1,2,2.53
Moulton House,Fridges,Winter,1,1,2,2.57
Kaplanis Hall,Fridges,Winter,2,1,2,0.5
Kaplanis Hall,Cooking Wares,Winter,3,1,2,2.55
Adams Hall,Fans,Winter,4,1,2,1.8
Village,Fridges,Winter,5,1,2,1.01
Chu Hall,Cooking Wares,Winter,6,1,2,0.62
Gillespie Hall,Air Conditioners,Winter,7,1,2,1.75
Chu Hall,Cooking Wares,Winter,8,1,2,2.1
Smith Hall,Heaters,Winter,9,1,2,2.37
Smith Hall,Lamps,Winter,10,1,2,1.04
Village,Fridges,Winter,11,1,2,0.66
Chu Hall,Cooking Wares,Winter,12,1,2,1.38
Moulton House,Air Conditioners,Winter,13,1,2,0.38
Adams Hall,Fans,Winter,14,1,2,0.28
Moulton House,Cooking Wares,Winter,15,1,2,1.8
Chu Hall,Heaters,Winter,16,1,2,1.59
Kaplanis Hall,Laptops,Winter,17,1,2,0.2
Smith Hall,Fridges,Winter,18,1,2,2.92
Chu Hall,Cooking Wares,Winter,19,1,2,0.71
Kaplanis Hall,Laptops,Winter,20,1,2,2.68
Adams Hall,Kettles,Winter,21,1,2,0.25
Moulton House,Air Conditioners,Winter,22,1,2,3.87
Village,Kettles,Winter,23,1,2,1.29
Adams Hall,Fridges,Winter,0,1,3,2.25
Parker Hall,Laptops,Winter,1,1,3,0.87
